村志代码 Gazetteer Code,村志书名 Gazetteer Title,Category,Division1,Division2,Division3,Division4,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
88,传字营村志,自然增长率 Natural Population Growth Rate (‰),,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.3,8,4.7,11.8,6.5,9.7,9.2,14.7,8.2,12.9,8.3,2.4,8.8,13.6,n/a,13,9.4,5.3,3.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
88,传字营村志,自然出生率 Birth Rate (‰),,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13.8,n/a,n/a,11,11.8,11.1,17.6,11.7,15.1,13.8,19.7,12.6,18.3,14,8.1,14,18.2,24.7,19.4,17.4,14.8,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
88,传字营村志,迁入 Migration In,,知识青年 Educated Youth,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,119,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
88,传字营村志,人口 Population,男性人口 Male Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1568,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
88,传字营村志,死亡人数 Number of Deaths,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,21,13,23,20,18,19,16,17,15,18,19,19,17,15,13,20,25,30,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
88,传字营村志,户数 Number of Households,,,,,290,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,500,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,768,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1005,n/a,n/a,n/a,n/a,n/a,n/a,1072,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
88,传字营村志,人口 Population,总人口 Total Population,,,,1324,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2500,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3573,3458,3599,3456,3489,3494,3472,3448,3421,3385,3346,3317,3284,3231,3188,3142,3160,3164,3172,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
88,传字营村志,人口 Population,女性人口 Female Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1604,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
88,传字营村志,出生人数 Number of Births,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,n/a,n/a,40,41,40,61,41,53,48,68,43,62,47,27,46,59,79,61,55,47,35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
89,新立村志,迁入 Migration In,,知识青年 Educated Youth,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14,39,173,2,26,15,5,21,39,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
89,新立村志,人口 Population,男性人口 Male Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2164,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2096,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
89,新立村志,流动人口/暂住人口 Migratory/Temporary Population,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,105,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
89,新立村志,户数 Number of Households,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1400,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
89,新立村志,人口 Population,总人口 Total Population,,,,700,850,n/a,n/a,1350,1500,n/a,n/a,n/a,1700,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4462,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4300,n/a,4336,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
89,新立村志,人口 Population,女性人口 Female Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2298,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2240,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
89,新立村志,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22,n/a,n/a,n/a,n/a,n/a,750,n/a,n/a,n/a,n/a,238,867,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
90,高山村志,自然出生率 Birth Rate (‰),,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13.4,14,13.7,13.2,13.3,11,13.2,13.48,10.7,11.63,12.87,11.6,12.16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
90,高山村志,人口 Population,男性人口 Male Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1507,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1792,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1863,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
90,高山村志,死亡人数 Number of Deaths,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20,17,18,20,21,15,26,17,15,29,21,28,23,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
90,高山村志,户数 Number of Households,,,,,n/a,n/a,397,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,879,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
90,高山村志,人口 Population,总人口 Total Population,,,,n/a,n/a,1657,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3115,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3652,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
90,高山村志,人口 Population,女性人口 Female Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1608,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1870,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1789,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
90,高山村志,出生人数 Number of Births,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,48,52,50,48,49,41,48,49,39,43,48,44,46,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
91,福保村志,迁入 Migration In,,知识青年 Educated Youth,,,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
91,福保村志,人口 Population,男性人口 Male Population,,,,n/a,489,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,677,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,856,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1008,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1136,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1208,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
91,福保村志,死亡人数 Number of Deaths,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12,16,15,15,8,15,7,17,22,11,13,12,18,11,16,12,19,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
91,福保村志,户数 Number of Households,,,,,n/a,160,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,270,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,353,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,475,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,520,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,818,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
91,福保村志,人口 Population,总人口 Total Population,,,,n/a,980,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1360,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1720,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2128,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2257,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2512,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
91,福保村志,人口 Population,女性人口 Female Population,,,,n/a,491,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,683,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,864,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1120,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1121,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1304,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
91,福保村志,出生人数 Number of Births,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22,19,36,25,42,25,28,30,21,29,36,30,35,29,30,33,23,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
92,上南村志,户数 Number of Households,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,535,n/a,n/a,n/a,n/a,542,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,543,n/a,563,n/a,n/a,n/a,593,n/a,n/a,n/a,680,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,631,n/a,n/a,n/a,n/a,n/a,621,624,793,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
92,上南村志,人口 Population,男性人口 Male Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1654,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
92,上南村志,人口 Population,女性人口 Female Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1512,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
92,上南村志,人口 Population,总人口 Total Population,,,,n/a,n/a,n/a,n/a,n/a,2152,n/a,n/a,2470,n/a,n/a,n/a,n/a,2393,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3078,3045,3020,n/a,n/a,n/a,3221,n/a,3237,n/a,3166,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2359,2570,2323,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
93,霍庄子村志,户数 Number of Households,,,,,192,n/a,n/a,n/a,n/a,n/a,272,n/a,n/a,n/a,n/a,298,n/a,n/a,n/a,n/a,324,n/a,n/a,n/a,n/a,486,n/a,n/a,n/a,n/a,575,n/a,n/a,n/a,n/a,636,n/a,n/a,n/a,n/a,655,n/a,n/a,n/a,n/a,768,n/a,n/a,n/a,n/a,795,n/a,n/a,n/a,n/a,805,n/a,n/a,n/a,n/a,895,n/a,n/a,n/a,n/a,902,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
93,霍庄子村志,人口 Population,男性人口 Male Population,,,,598,n/a,n/a,n/a,n/a,n/a,696,n/a,n/a,n/a,n/a,720,n/a,n/a,n/a,n/a,806,n/a,n/a,n/a,n/a,1199,n/a,n/a,n/a,n/a,1247,n/a,n/a,n/a,n/a,1116,n/a,n/a,n/a,n/a,1162,n/a,n/a,n/a,n/a,1230,n/a,n/a,n/a,n/a,1290,n/a,n/a,n/a,n/a,1295,n/a,n/a,n/a,n/a,1314,n/a,n/a,n/a,n/a,1338,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
93,霍庄子村志,人口 Population,女性人口 Female Population,,,,596,n/a,n/a,n/a,n/a,n/a,695,n/a,n/a,n/a,n/a,720,n/a,n/a,n/a,n/a,805,n/a,n/a,n/a,n/a,1240,n/a,n/a,n/a,n/a,1327,n/a,n/a,n/a,n/a,1134,n/a,n/a,n/a,n/a,1216,n/a,n/a,n/a,n/a,1294,n/a,n/a,n/a,n/a,1294,n/a,n/a,n/a,n/a,1300,n/a,n/a,n/a,n/a,1320,n/a,n/a,n/a,n/a,1340,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
93,霍庄子村志,人口 Population,总人口 Total Population,,,,1194,n/a,n/a,n/a,n/a,n/a,1391,n/a,1416,n/a,n/a,1440,n/a,n/a,n/a,n/a,1659,n/a,n/a,n/a,n/a,2708,n/a,n/a,n/a,n/a,2915,n/a,n/a,n/a,n/a,2316,n/a,n/a,n/a,n/a,2566,n/a,n/a,n/a,n/a,2680,n/a,n/a,n/a,n/a,2789,n/a,n/a,n/a,n/a,2810,n/a,n/a,n/a,n/a,2984,n/a,n/a,n/a,n/a,3179,2687,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
93,霍庄子村志,出生人数 Number of Births,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
93,霍庄子村志,迁入 Migration In,,知识青年 Educated Youth,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30,n/a,n/a,36,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
94,长畛村志,户数 Number of Households,,,,,35,35,35,36,36,37,37,39,40,40,41,45,46,46,46,48,48,48,47,48,47,50,50,52,53,54,56,57,60,60,62,66,66,69,66,63,63,64,63,63,63,64,64,74,76,76,78,78,82,82,82,83,83,112,116,131,136,143,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
94,长畛村志,人口 Population,男性人口 Male Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,113,n/a,n/a,n/a,n/a,119,126,116,120,121,122,125,127,127,131,137,135,135,137,137,138,140,162,173,191,205,206,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
94,长畛村志,人口 Population,女性人口 Female Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,117,n/a,n/a,n/a,n/a,117,117,106,125,128,128,129,130,130,133,140,140,141,146,146,148,148,184,187,209,207,227,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
94,长畛村志,人口 Population,总人口 Total Population,,,,156,156,157,160,160,160,160,167,170,170,172,184,206,209,205,187,199,198,200,197,196,193,192,192,203,196,214,213,206,217,234,230,231,230,230,229,236,232,241,249,249,250,254,257,257,264,277,275,276,283,283,286,288,346,360,400,412,433,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
94,长畛村志,出生人数 Number of Births,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,n/a,n/a,n/a,4,3,3,11,5,4,3,2,2,3,4,3,2,7,3,3,5,1,4,10,7,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
94,长畛村志,自然出生率 Birth Rate (‰),,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20,n/a,n/a,n/a,n/a,20,15,15,45,20,16,12,8,8,11.4,14,10.9,7,25,10.6,10.5,17,3,11,24,16,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
94,长畛村志,死亡人数 Number of Deaths,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,2,2,2,1,2,2,0,3,1,4,2,2,0,1,1,2,3,1,3,1,6,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
